sku,categories,name,description,short_description,price,special_price,special_price_from_date,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,attribute_set_code,product_type,product_websites,weight,product_online,tax_class_name,visibility,display_product_options_in,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update
venkatagiri-pattu-sare20220327053348840431,"Default Category,Default Category/Handloom Sarees,Default Category/Handloom Sarees/Tripura Silk,Default Category/Handloom Sarees/Tripura Silk/Tripura Silk Sarees",green and white tripura silk sarees with flower buties design - TRPP0001809,hello world,hello world,1860,1225,03/27/22,Tripura Silk Saree | Tripura Silk Saree  with flower buties design online from weavers |  TRPP0001809,"Tripura Silk Sarees, Tripura Silk Sarees Online Shopping, Tripura Handloom Sarees, Tripura Silk Sarees Online, tripura silk saree, tripura silk saree online",Tripura Silk Saree: Get wide-range collection of premium quality traditional Silk Saree online crafted by our Master Weavers at the best price.,tripura silk sarees-20220320044321359572.jpg,tripura silk sarees-20220320044321359572.jpg,tripura silk sarees-20220320044321359572.jpg,tripura silk sarees-20220320044321359572.jpg,tripura silk sarees-20220320044321359572.jpg,tripura silk sarees-20220320044321359572.jpg,Default,simple,base,2.5,1,None,"Catalog, Search",Block after Info Column,Use config,india,"""has_options=0,quantity_and_stock_status=In Stock,required_options=0""",10,0,1,0,0,1,1,0,0,1,1,3,1,0,1,1,1,1,0,0,1,0,1
venkatagiri-pattu-sare20220327053348860701,"Default Category,Default Category/Handloom Sarees,Default Category/Handloom Sarees/Tripura Silk,Default Category/Handloom Sarees/Tripura Silk/Tripura Silk Sarees",pink and blue tripura silk sarees with flower buties design - TRPP0001810,hello world,hello world,1860,1225,03/27/22,Tripura Silk Saree | Tripura Silk Saree  with flower buties design online from weavers |  TRPP0001810,"Tripura Silk Sarees, Tripura Silk Sarees Online Shopping, Tripura Handloom Sarees, Tripura Silk Sarees Online, tripura silk saree, tripura silk saree online",Tripura Silk Saree: Get wide-range collection of premium quality traditional Silk Saree online crafted by our Master Weavers at the best price.,tripura silk sarees-20220320044321367308.jpg,tripura silk sarees-20220320044321367308.jpg,tripura silk sarees-20220320044321367308.jpg,tripura silk sarees-20220320044321367308.jpg,tripura silk sarees-20220320044321367308.jpg,tripura silk sarees-20220320044321367308.jpg,Default,simple,base,2.5,1,None,"Catalog, Search",Block after Info Column,Use config,india,"""has_options=0,quantity_and_stock_status=In Stock,required_options=0""",10,0,1,0,0,1,1,0,0,1,1,3,1,0,1,1,1,1,0,0,1,0,1
